0;539
1;544
2;548
3;550
4;550
5;549
6;547
7;545
8;543
9;541
10;540
11;538
12;539
13;540
14;541
15;544
0;545
1;549
2;552
3;555
4;556
5;556
6;554
7;550
8;545
9;541
10;537
11;539
12;541
13;542
14;544
15;551
0;556
1;560
2;563
3;564
4;567
5;571
6;568
7;562
8;559
9;558
10;556
11;553
12;549
13;550
14;550
15;548
0;551
1;555
2;558
3;562
4;561
5;561
6;562
7;559
8;554
9;551
10;556
11;567
12;572
13;569
14;561
15;555
0;553
1;556
2;557
3;560
4;562
5;562
6;560
7;558
8;556
9;549
10;539
11;533
12;528
13;524
14;521
15;520
0;520
1;523
2;526
3;527
4;527
5;529
6;528
7;521
8;518
9;513
10;506
11;502
12;499
13;495
14;488
15;487
0;485
1;485
2;486
3;484
4;484
5;486
6;488
7;487
8;487
9;486
10;482
11;476
12;472
13;469
14;466
15;463
0;463
1;463
2;463
3;468
4;473
5;477
6;482
7;483
8;480
9;476
10;473
11;470
12;467
13;464
14;461
15;456
0;455
1;455
2;457
3;462
4;467
5;472
6;476
7;480
8;485
9;483
10;486
11;483
12;478
13;472
14;466
15;463
0;460
1;462
2;462
3;462
4;464
5;466
6;468
7;475
8;483
9;486
10;484
11;483
12;480
13;476
14;472
15;471
0;469
1;467
2;467
3;467
4;472
5;478
6;481
7;483
8;485
9;486
10;486
11;486
12;482
13;478
14;476
15;474
0;471
1;468
2;468
3;471
4;473
5;475
6;478
7;481
8;486
9;489
10;493
11;493
12;493
13;494
14;490
15;487
0;485
1;482
2;481
3;480
4;478
5;474
6;477
7;483
8;486
9;489
10;491
11;493
12;492
13;491
14;488
15;486
0;487
1;487
2;489
3;490
4;489
5;491
6;493
7;498
8;503
9;507
10;513
11;516
12;512
13;507
14;502
15;499
0;497
1;494
2;488
3;487
4;490
5;491
6;489
7;493
8;495
9;496
10;499
11;503
12;504
13;504
14;507
15;507
0;503
1;499
2;499
3;496
4;492
5;491
6;489
7;491
8;496
9;499
10;502
11;506
12;510
13;512
14;512
15;512
0;510
1;504
2;498
3;490
4;486
5;485
6;485
7;489
8;496
9;505
10;513
11;517
12;519
13;520
14;521
15;519
0;517
1;513
2;509
3;505
4;501
5;498
6;499
7;500
8;501
9;504
10;508
11;511
12;515
13;520
14;525
15;526
0;524
1;520
2;514
3;509
4;505
5;502
6;500
7;499
8;502
9;504
10;507
11;511
12;514
13;516
14;517
15;517
0;518
1;517
2;511
3;506
4;504
5;501
6;499
7;497
8;497
9;502
10;507
11;509
12;510
13;519
14;523
15;523
0;519
1;518
2;515
3;507
4;501
5;498
6;497
7;499
8;503
9;504
10;505
11;507
12;511
13;516
14;522
15;527
0;533
1;538
2;540
3;539
4;528
5;525
6;524
7;520
8;515
9;512
10;510
11;508
12;509
13;514
14;516
15;516
0;521
1;524
2;523
3;523
4;521
5;518
6;515
7;515
8;513
9;513
10;513
11;518
12;522
13;529
14;537
15;542
0;549
1;552
2;556
3;555
4;553
5;549
6;545
7;542
8;539
9;534
10;531
11;528
12;527
13;529
14;535
15;536
0;538
1;540
2;543
3;543
4;542
5;541
6;542
7;538
8;532
9;529
10;527
11;526
12;521
13;515
14;512
15;517
0;520
1;519
2;524
3;526
4;522
5;517
6;511
7;504
8;498
9;491
10;486
11;483
12;482
13;483
14;482
15;485
0;490
1;495
2;499
3;502
4;504
5;504
6;502
7;500
8;494
9;490
10;484
11;480
12;479
13;477
14;475
15;473
0;479
1;486
2;494
3;499
4;503
5;502
6;500
7;498
8;493
9;487
10;484
11;478
12;478
13;483
14;481
15;482
0;487
1;491
2;499
3;505
4;508
5;510
6;508
7;502
8;498
9;493
10;488
11;485
12;483
13;484
14;485
15;485
0;485
1;487
2;488
3;493
4;500
5;506
6;508
7;510
8;510
9;508
10;504
11;500
12;493
13;488
14;490
15;490
0;489
1;491
2;495
3;499
4;503
5;505
6;506
7;507
8;508
9;507
10;504
11;498
12;492
13;488
14;488
15;491
0;497
1;504
2;512
3;524
4;537
5;554
6;572
7;587
8;599
9;613
10;633
11;648
12;667
13;688
14;708
15;729
0;748
1;763
2;778
3;798
4;814
5;824
6;831
7;830
8;817
9;798
10;770
11;737
12;699
13;662
14;621
15;576
0;531
1;492
2;457
3;432
4;414
5;398
6;386
7;380
8;375
9;371
10;368
11;364
12;362
13;356
14;349
