0;543
1;544
2;543
3;540
4;537
5;533
6;527
7;519
8;515
9;518
10;524
11;522
12;524
13;531
14;541
15;547
0;555
1;561
2;560
3;555
4;549
5;540
6;531
7;525
8;517
9;513
10;514
11;518
12;520
13;525
14;530
15;536
0;541
1;548
2;554
3;556
4;552
5;550
6;543
7;536
8;529
9;521
10;519
11;520
12;519
13;524
14;529
15;534
0;539
1;547
2;553
3;553
4;551
5;547
6;542
7;535
8;529
9;526
10;524
11;520
12;520
13;521
14;524
15;532
0;540
1;547
2;553
3;558
4;558
5;555
6;554
7;551
8;546
9;541
10;538
11;538
12;544
13;547
14;547
15;550
0;552
1;555
2;560
3;565
4;573
5;578
6;581
7;579
8;572
9;564
10;561
11;558
12;554
13;550
14;551
15;556
0;564
1;569
2;572
3;577
4;579
5;576
6;575
7;573
8;566
9;556
10;551
11;543
12;540
13;539
14;543
15;543
0;546
1;550
2;554
3;560
4;564
5;564
6;559
7;554
8;548
9;540
10;531
11;522
12;515
13;512
14;513
15;515
0;513
1;511
2;515
3;516
4;521
5;524
6;522
7;522
8;520
9;514
10;505
11;496
12;487
13;480
14;475
15;472
0;471
1;469
2;477
3;486
4;487
5;491
6;494
7;493
8;491
9;488
10;480
11;469
12;464
13;457
14;451
15;447
0;445
1;441
2;441
3;452
4;461
5;465
6;470
7;471
8;467
9;465
10;463
11;456
12;451
13;445
14;440
15;435
0;434
1;435
2;437
3;440
4;446
5;453
6;460
7;467
8;472
9;475
10;479
11;482
12;480
13;476
14;470
15;464
0;460
1;460
2;461
3;462
4;463
5;467
6;470
7;472
8;476
9;475
10;476
11;475
12;470
13;465
14;463
15;457
0;455
1;457
2;462
3;463
4;464
5;467
6;467
7;466
8;470
9;477
10;484
11;495
12;503
13;501
14;491
15;483
0;472
1;462
2;460
3;458
4;456
5;462
6;467
7;471
8;479
9;485
10;489
11;489
12;485
13;481
14;473
15;467
0;461
1;458
2;459
3;463
4;467
5;471
6;476
7;483
8;490
9;497
10;500
11;502
12;503
13;503
14;501
15;497
0;497
1;488
2;478
3;473
4;471
5;469
6;471
7;476
8;480
9;487
10;495
11;502
12;507
13;509
14;507
15;499
0;492
1;486
2;480
3;474
4;475
5;479
6;476
7;476
8;479
9;483
10;491
11;503
12;513
13;523
14;524
15;518
0;507
1;496
2;487
3;481
4;477
5;476
6;481
7;485
8;488
9;491
10;496
11;505
12;515
13;519
14;516
15;514
0;507
1;495
2;487
3;484
4;483
5;481
6;481
7;482
8;488
9;495
10;501
11;508
12;514
13;518
14;518
15;515
0;512
1;506
2;503
3;505
4;506
5;504
6;504
7;497
8;492
9;497
10;503
11;508
12;513
13;517
14;519
15;521
0;521
1;517
2;511
3;507
4;501
5;496
6;491
7;491
8;492
9;493
10;499
11;507
12;516
13;527
14;535
15;538
0;540
1;537
2;526
3;514
4;504
5;496
6;492
7;490
8;491
9;492
10;497
11;500
12;504
13;510
14;520
15;526
0;526
1;526
2;523
3;517
4;508
5;498
6;490
7;489
8;495
9;500
10;506
11;507
12;509
13;513
14;518
15;525
0;528
1;530
2;527
3;518
4;517
5;514
6;507
7;500
8;499
9;500
10;501
11;505
12;512
13;519
14;526
15;534
0;539
1;537
2;537
3;536
4;532
5;526
6;520
7;514
8;508
9;506
10;504
11;504
12;508
13;516
14;523
15;531
0;540
1;547
2;551
3;550
4;549
5;545
6;540
7;541
8;536
9;533
10;535
11;537
12;539
13;544
14;549
15;551
0;556
1;560
2;562
3;561
4;556
5;552
6;547
7;544
8;540
9;536
10;532
11;526
12;519
13;512
14;512
15;520
0;536
1;547
2;553
3;548
4;538
5;528
6;514
7;501
8;492
9;484
10;480
11;479
12;479
13;479
14;481
15;486
0;492
1;497
2;504
3;508
4;510
5;508
6;505
7;500
8;492
9;495
10;488
11;475
12;468
13;472
14;475
15;481
0;490
1;494
2;497
3;500
4;502
5;503
6;503
7;500
8;493
9;486
10;478
11;470
12;467
13;468
14;471
15;477
0;486
1;494
2;502
3;507
4;508
5;509
6;511
7;509
8;505
9;500
10;496
11;497
12;494
13;494
14;495
15;492
0;491
1;494
2;500
3;508
4;514
5;516
6;516
7;516
8;513
9;504
10;499
11;501
12;501
13;502
14;502
15;499
0;501
1;502
2;504
3;505
4;506
5;508
6;504
7;503
8;504
9;502
10;497
11;491
12;486
13;486
14;485
15;485
0;485
1;489
2;500
3;511
4;516
5;520
6;524
7;528
8;531
9;536
10;544
11;551
12;557
13;568
14;583
15;602
0;624
1;647
2;682
3;713
4;737
5;755
6;773
7;784
8;793
9;802
10;807
11;803
12;794
13;784
14;766
15;740
0;711
1;684
2;658
3;633
4;605
5;577
6;551
7;524
8;493
9;464
10;438
11;412
12;390
13;374
14;358
15;345
0;339
1;342
2;348
3;358
4;367
5;376
6;386
7;399
8;408
9;414
10;419
11;420
12;413
13;410
14;409
15;408
0;415
1;420
2;424
3;431
4;442
5;452
6;460
7;467
8;473
9;476
10;485
11;500
12;509
13;501
14;494
15;487
0;486
1;485
2;487
3;489
4;490
5;492
6;499
7;501
8;503
9;508
10;507
11;517
12;526
13;519
14;512
15;505
0;499
1;495
2;498
3;499
4;497
5;493
6;496
7;502
8;505
9;506
10;505
11;504
12;507
13;511
14;512
15;504
0;499
1;501
2;499
3;500
4;504
5;505
6;510
7;515
8;519
9;522
10;523
11;519
12;523
13;526
14;525
15;522
0;519
1;519
2;517
3;514
4;513
5;511
6;511
7;516
8;524
9;531
10;539
11;543
12;541
13;538
14;532
15;524
0;518
1;517
2;513
3;510
4;511
5;513
6;511
7;513
8;520
9;528
10;533
11;536
12;536
13;540
14;546
15;551
0;547
1;537
2;526
3;517
4;512
5;510
6;511
7;513
8;518
9;523
10;525
11;530
12;537
13;537
14;540
15;544
0;547
1;543
2;541
3;534
4;529
5;526
6;524
7;517
8;516
9;524
10;532
11;538
12;544
13;550
14;550
15;550
0;549
1;546
2;541
3;536
4;529
5;521
6;517
7;518
8;524
9;528
10;534
11;540
12;545
13;543
14;547
15;556
0;561
1;561
2;555
3;549
4;543
5;535
6;530
7;530
8;532
9;536
10;549
11;561
12;568
13;572
14;572
15;575
0;576
1;577
2;574
3;568
4;563
5;557
6;551
7;545
8;547
9;549
10;551
11;551
12;556
13;564
14;570
15;572
0;571
1;571
2;571
3;565
4;557
5;549
6;542
7;537
8;535
9;538
10;540
11;542
12;547
13;552
14;557
15;558
0;558
1;554
2;551
3;546
4;534
5;521
6;510
7;501
8;495
9;490
10;487
11;489
12;493
13;499
14;504
15;506
0;506
1;505
2;504
3;508
4;504
5;491
6;481
7;477
8;480
9;483
10;481
11;473
12;470
13;470
14;472
15;479
0;486
1;489
2;487
3;481
4;478
5;470
6;464
7;456
8;445
9;440
10;444
11;449
12;449
13;453
14;458
15;462
0;467
1;472
2;477
3;473
4;471
5;470
6;463
7;458
8;452
9;447
10;442
11;442
12;444
13;447
14;454
15;462
0;467
1;470
2;476
3;482
4;483
5;484
6;482
7;472
8;463
9;462
10;454
11;446
12;444
13;443
14;447
15;453
0;461
1;468
2;477
3;483
4;483
5;484
6;486
7;482
8;476
9;472
10;467
11;463
12;461
13;461
14;462
15;465
0;470
1;473
2;476
3;483
4;488
5;489
6;487
7;487
8;487
9;488
10;488
11;478
12;468
13;469
14;471
15;474
0;478
1;480
2;485
3;493
4;497
5;503
6;512
7;513
8;507
9;500
10;490
11;481
12;474
13;473
14;478
15;476
0;479
1;487
2;495
3;505
4;514
5;516
6;512
7;512
8;514
9;508
10;500
11;492
12;486
13;481
14;482
15;483
0;484
1;492
2;500
3;509
4;519
5;521
6;521
7;519
8;519
9;516
10;509
11;499
12;490
13;485
14;490
15;492
0;494
1;494
2;496
3;499
4;508
5;523
6;532
7;536
8;538
9;538
10;533
11;525
12;520
13;511
14;505
15;502
0;502
1;501
2;504
3;510
4;516
5;522
6;528
7;532
8;536
9;537
10;533
11;527
12;518
13;510
14;502
15;495
0;492
1;497
2;504
3;512
4;521
5;525
6;529
7;534
8;537
9;534
10;529
11;527
12;520
13;513
14;506
15;499
0;494
1;491
2;489
3;487
4;492
5;505
6;513
7;523
8;531
9;535
10;536
11;532
12;529
13;523
14;515
15;506
0;496
1;489
2;491
3;495
4;499
5;508
6;517
7;524
8;533
9;537
10;536
11;534
12;527
13;515
14;504
15;493
0;485
1;482
2;482
3;482
4;486
5;492
6;499
7;505
8;510
9;517
10;520
11;518
12;515
13;512
14;504
15;502
0;498
1;488
2;482
3;477
4;475
5;486
6;495
7;498
8;502
9;508
10;513
11;514
12;515
13;518
14;518
15;511
0;507
1;502
2;497
3;498
4;498
5;500
6;504
7;512
8;520
9;529
10;536
11;537
12;540
13;538
14;530
15;519
0;513
1;509
2;510
3;512
4;510
5;506
6;506
7;512
8;520
9;526
10;532
11;543
12;551
13;553
14;556
15;554
0;551
1;549
2;543
3;535
4;528
5;524
6;521
7;518
8;525
9;533
10;537
11;543
12;548
13;549
14;549
15;549
0;543
1;531
2;522
3;514
4;509
5;510
6;511
7;511
8;512
9;515
