0;513
1;514
2;515
3;515
4;517
5;517
6;517
7;517
8;516
9;516
10;514
11;513
12;513
13;511
14;511
15;511
0;511
1;512
2;513
3;515
4;516
5;517
6;517
7;516
8;516
9;516
10;515
11;515
12;513
13;513
14;512
15;511
0;511
1;511
2;513
3;515
4;516
5;517
6;517
7;518
8;517
9;517
10;517
11;515
12;515
13;513
14;512
15;511
0;511
1;511
2;512
3;512
4;514
5;514
6;516
7;516
8;516
9;516
10;515
11;515
12;514
13;514
14;514
15;512
0;512
1;512
2;512
3;513
4;513
5;515
6;515
7;516
8;517
9;516
10;516
11;515
12;515
13;514
14;513
15;513
0;511
1;511
2;512
3;513
4;514
5;515
6;517
7;519
8;519
9;521
10;522
11;522
12;524
13;524
14;525
15;524
0;524
1;525
2;525
3;527
4;527
5;529
6;531
7;531
8;534
9;535
10;536
11;536
12;535
13;535
14;535
15;534
0;534
1;533
2;533
3;532
4;533
5;534
6;534
7;536
8;535
9;536
10;537
11;536
12;536
13;536
14;534
15;533
0;532
1;531
2;530
3;529
4;529
5;528
6;529
7;529
8;529
9;529
10;529
11;530
12;528
13;527
14;526
15;524
0;524
1;521
2;519
3;517
4;515
5;515
6;514
7;514
8;514
9;514
10;515
11;513
12;512
13;511
14;509
15;508
0;506
1;504
2;503
3;501
4;500
5;499
6;500
7;500
8;501
9;503
10;503
11;503
12;503
13;503
14;503
15;502
0;502
1;502
2;501
3;500
4;499
5;499
6;500
7;500
8;502
9;502
10;503
11;504
12;504
13;505
14;504
15;504
0;503
1;502
2;502
3;501
4;500
5;499
6;499
7;500
8;500
9;502
10;503
11;502
12;504
13;505
14;505
15;505
0;505
1;505
2;504
3;503
4;503
5;501
6;502
7;501
8;501
9;502
10;503
11;504
12;505
13;505
14;506
15;506
0;507
1;506
2;506
3;505
4;504
5;504
6;503
7;502
8;502
9;502
10;504
11;505
12;506
13;507
14;509
15;510
0;508
1;508
2;508
3;507
4;507
5;506
6;504
7;502
8;500
9;497
10;496
11;493
12;492
13;488
14;487
15;483
0;480
1;477
2;474
3;476
4;478
5;485
6;491
7;500
8;508
9;519
10;528
11;540
12;550
13;563
14;573
15;586
0;595
1;608
2;617
3;627
4;635
5;646
6;654
7;665
8;672
9;681
10;689
11;695
12;700
13;703
14;704
15;700
0;694
1;685
2;675
3;662
4;650
5;633
6;620
7;605
8;591
9;575
10;562
11;547
12;534
13;521
14;509
15;494
0;483
1;470
2;458
3;443
4;431
5;417
6;405
7;399
8;396
9;396
10;398
11;402
12;407
13;415
14;423
15;433
0;440
1;449
2;456
3;462
4;467
5;469
6;471
7;472
8;472
