0;547
1;548
2;547
3;547
4;547
5;546
6;545
7;544
8;543
9;542
10;541
11;541
12;542
13;541
14;541
15;540
0;539
1;538
2;536
3;535
4;532
5;530
6;528
7;526
8;524
9;523
10;522
11;521
12;522
13;522
14;522
15;523
0;522
1;522
2;521
3;518
4;515
5;513
6;510
7;507
8;503
9;499
10;497
11;495
12;494
13;492
14;490
15;489
0;488
1;487
2;485
3;484
4;483
5;480
6;479
7;477
8;475
9;474
10;473
11;473
12;473
13;473
14;473
15;474
0;476
1;476
2;476
3;477
4;477
5;478
6;477
7;476
8;476
9;475
10;475
11;475
12;476
13;476
14;478
15;480
0;481
1;482
2;483
3;483
4;484
5;484
6;483
7;483
8;483
9;483
10;482
11;482
12;481
13;483
14;484
15;484
0;486
1;488
2;490
3;492
4;494
5;496
6;497
7;498
8;499
9;499
10;500
11;500
12;501
13;503
14;504
15;506
0;509
1;510
2;512
3;513
4;515
5;515
6;515
7;516
8;516
9;516
10;515
11;513
12;513
13;512
14;513
15;513
0;514
1;515
2;516
3;517
4;517
5;516
6;516
7;515
8;515
9;513
10;512
11;511
12;508
13;507
14;507
15;506
0;506
1;505
2;506
3;506
4;505
5;506
6;504
7;503
8;501
9;498
10;497
11;494
12;491
13;490
14;489
15;489
0;489
1;490
2;492
3;492
4;494
5;495
6;495
7;495
8;495
9;496
10;495
11;494
12;494
13;492
14;492
15;493
0;493
1;494
2;496
3;497
4;498
5;499
6;500
7;500
8;501
9;499
10;499
11;499
12;498
13;498
14;496
15;496
0;496
1;496
2;498
3;499
4;500
5;501
6;501
7;502
8;502
9;503
10;502
11;501
12;501
13;500
14;498
15;495
0;492
1;491
2;489
3;487
4;486
5;483
6;482
7;479
8;476
9;472
10;472
11;476
12;481
13;487
14;496
15;503
0;512
1;522
2;534
3;544
4;556
5;568
6;578
7;590
8;602
9;611
10;621
11;631
12;641
13;650
14;659
15;669
0;677
1;686
2;692
3;696
4;700
5;702
6;700
7;695
8;687
9;679
10;667
11;654
12;640
13;625
14;612
15;596
0;579
1;565
2;550
3;538
4;524
5;512
6;498
7;486
8;474
9;461
10;448
11;435
12;422
13;410
14;403
15;399
0;399
1;399
2;402
3;406
4;413
5;420
6;428
7;436
8;445
9;454
10;461
11;465
12;468
13;471
14;473
15;474
0;475
1;475
2;475
3;475
4;476
5;478
6;480
7;482
8;484
9;485
10;487
11;488
12;488
13;487
14;488
15;487
0;488
1;487
2;487
3;487
4;487
5;488
6;489
7;491
8;493
9;494
10;496
11;497
12;498
13;499
14;499
15;499
0;499
1;499
2;499
3;498
4;498
5;498
6;499
7;501
8;502
9;504
10;505
11;507
12;508
13;509
14;510
15;510
0;510
1;510
2;509
3;510
4;509
5;509
6;509
7;510
8;512
9;513
10;515
11;517
12;518
13;519
14;519
15;519
0;519
1;519
2;519
3;519
4;519
5;519
6;519
7;519
8;520
9;521
10;523
11;524
12;526
13;527
14;527
15;527
0;527
1;527
2;527
3;526
4;525
5;524
6;524
7;525
8;526
9;527
10;527
11;530
12;530
13;532
14;532
15;533
0;534
1;534
2;533
3;534
4;534
5;535
6;535
7;536
8;537
9;539
10;541
11;542
12;544
13;546
14;547
15;548
0;548
1;549
2;549
3;548
4;547
5;546
6;545
7;543
8;542
9;541
10;540
11;539
12;538
13;537
14;538
15;537
0;536
1;534
2;532
3;531
4;529
5;527
6;524
7;523
8;522
9;521
10;520
11;519
12;520
13;520
14;520
15;520
0;519
1;518
2;517
3;514
4;511
5;509
6;506
7;503
8;499
9;496
10;493
11;491
12;490
13;488
14;488
15;486
0;486
1;486
2;484
3;482
4;481
5;480
6;480
7;478
8;475
9;474
10;473
11;472
12;472
13;473
14;474
15;475
0;477
1;478
2;479
3;479
4;478
5;479
6;478
7;478
8;477
9;476
10;476
11;476
12;477
13;478
14;479
15;480
0;481
1;483
2;484
3;484
4;485
5;486
6;485
7;485
8;484
9;484
10;482
11;483
12;483
13;484
14;486
15;487
0;490
1;492
2;495
3;497
4;498
5;499
6;500
7;500
8;502
9;503
10;503
11;504
12;505
13;506
14;507
15;509
0;512
1;513
2;515
3;517
4;518
5;519
6;519
7;519
8;518
9;517
10;517
11;516
12;516
13;515
14;515
15;515
0;516
1;518
2;518
3;518
4;519
5;518
6;517
7;516
8;515
9;513
10;512
11;511
12;508
13;508
14;507
15;506
0;507
1;506
2;506
3;506
4;504
5;504
6;502
7;500
8;498
9;496
10;495
11;494
12;493
13;492
14;490
15;491
0;492
1;493
2;494
3;495
4;496
5;497
6;496
7;497
8;497
9;497
10;496
11;495
12;495
13;494
14;494
15;494
0;495
1;495
2;496
3;498
4;498
5;500
6;501
7;501
8;501
9;500
10;500
11;499
12;499
13;498
14;497
15;497
0;497
1;497
2;499
3;500
4;502
5;502
6;503
7;503
8;503
9;503
10;504
11;502
12;501
13;498
14;495
15;492
0;488
1;487
2;483
3;481
4;478
5;476
6;475
7;472
8;474
9;477
10;482
11;489
12;496
13;504
14;514
15;522
0;532
1;543
2;555
3;565
4;576
5;589
6;600
7;611
8;623
9;633
10;643
11;652
12;663
13;672
14;680
15;689
0;694
1;698
2;701
3;702
4;702
5;696
6;686
7;677
8;666
9;654
10;640
11;627
12;612
13;598
14;583
15;568
0;552
1;537
2;523
3;511
4;497
5;485
6;471
7;460
8;448
9;435
10;422
11;409
12;403
13;399
14;399
15;400
0;403
1;407
2;412
3;418
4;427
5;434
6;443
7;452
8;459
9;465
10;468
11;472
12;473
13;475
14;476
15;476
0;477
1;478
2;477
3;477
4;478
5;479
6;480
7;482
8;484
9;486
10;486
11;489
12;489
13;489
14;489
15;489
0;489
1;488
2;488
3;487
4;488
5;489
6;489
7;491
8;493
9;494
10;497
11;498
12;499
13;499
14;500
15;501
0;501
1;500
2;500
3;499
4;499
5;499
6;500
7;502
8;504
9;505
10;507
11;509
12;511
13;510
14;512
15;512
0;512
1;512
2;512
3;512
4;511
5;511
6;512
7;512
8;515
9;515
10;518
11;519
12;520
13;522
14;523
15;523
0;523
1;522
2;523
3;521
4;521
5;520
6;520
7;521
8;521
9;523
10;525
11;525
12;527
13;528
14;528
15;528
0;528
1;528
2;527
3;527
4;526
5;526
6;526
7;526
8;527
9;528
10;529
11;529
12;531
13;532
14;534
15;534
0;535
1;534
2;535
3;536
4;536
5;537
6;537
7;537
8;538
9;540
10;542
11;543
12;545
13;546
14;547
15;549
0;549
1;549
2;549
3;548
4;546
5;545
6;542
7;540
8;537
9;537
10;536
11;536
12;535
13;535
14;536
15;534
0;533
1;531
2;530
3;528
4;526
5;525
6;524
7;520
8;520
9;518
10;519
11;518
12;518
13;519
14;519
15;518
0;516
1;514
2;512
3;509
4;506
5;503
